sentence,length,ambiguous_words,incorrect_words,candidate_analyses
তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,6,3,0,12
আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,12,4,1,32
সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,6,1,0,3
সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,8,3,1,18
যদি এই বিয়াৰ গুজৱ সত্য হয় তেনে পিতৃ-মাতৃ হিচাপে আমি অতিশয় সুখী হ'ম ।,14,8,2,2916
কেন্দ্ৰই কয় যে সকলো ধৰ্মতে বিবাহৰ এক সামাজিক মহত্ত্ব আছে ।,11,8,0,768
ইয়াৰ পিছৰখিনি কেৱল মাত্ৰ ইতিহাস ।,6,1,0,2
অশান্তি লাগি আছে ।,4,2,0,6
সকলো সাজু হৈছে বিহুটিক আদৰিবলৈ ।,6,4,0,24
তাৰে এটা হ'ল আয়কৰ ৰেহাইৰ লাভালাভ ।,7,6,3,486
""" গণতন্ত্ৰ ৰক্ষা কৰিবলৈ ।",5,3,0,8
সেই ত্যাগত কিমান আনন্দ আছে ।,6,1,0,3
কিন্তু কৃষিমন্ত্ৰীগৰাকীৰ এই কথাটো কিমান গ্ৰহণযোগ্য ।,7,3,1,18
আজি ঘৰৰ ল'ৰা ঘৰলৈ উভতি আহিছো ।,7,1,0,2
তেওঁৰ উত্তৰ আছিল হৃদয়স্পৰ্শী ।,5,1,0,2
ডাঙৰকৈ অহা বৰষুণৰ সুবিধা লৈ দুষ্কৃতিকাৰীয়ে এইবোৰ সংঘটিত কৰিছিল ।,10,6,2,144
তাত কোনো ঘূণ থাকিব নালাগিব ।,6,3,1,12
মহাৰাষ্ট্ৰত পৰিৱেশ আৰু বেয়া ।,5,1,1,4
মই বৰ ভয় খাইছো ।,5,2,1,6
নলবাৰী : নলবাৰীত গো মাংস কেন্দ্ৰ কৰি উত্তেজনায় পৰিবেশৰ সৃষ্টি ।,11,3,2,8
"তাৰ উদাহৰণ মিজোৰাম , অৰুণাচল ।",6,1,0,2
দ্বিতীয় বিবাহৰ পাছত স্বামীৰ নতুন পত্নীৰ সেৱা কৰাটো প্ৰথমা পত্নীৰ মূল ধৰ্ম হয় ।,14,6,1,288
বিশেষকৈ যিসকল অসুস্থ তেওঁলোকৰ খবৰ প্ৰতিদিনেই লৈছিল ।,8,4,0,72
: সুগন্ধা বৰা আজিকালি ইয়াত নাথাকে ।,7,2,1,16
আম হৈছে আটাইতকৈ প্ৰিয় ফলবোৰৰ ভিতৰত এটা আৰু লগতে ভাৰতৰ এক মুখ্য আচাৰ ।,14,12,1,27648
খাদ্য সংকট হৈছে ।,4,1,0,2
এই আলোচনাৰ অন্তত প্ৰথমখন প্ৰতিনিধি বৈঠক অনুষ্ঠিত হয় ।,9,3,1,18
এই বিষয়তো বিতৰ্ক অব্যাহত আছে ।,6,4,0,36
আনহাতে মই দুয়োটা কথাকে খুব বেয়া পাইছিলোঁ ।,8,1,0,2
ঘৰৰ প্ৰতিটো কোণত কেমেৰা থাকিব ।,6,1,0,2
ভাৰতৰ আটাইতকৈ বেয়া অৱস্থা মহাৰাষ্ট্ৰৰে ।,6,3,1,18
সেয়েহে ইয়াক তুলসীৰ ওচৰত ৰাখিব নালাগে ।,7,4,2,16
দুহাতেৰে শৰীৰটো ওপৰলৈ টানিবলৈ অশেষ চেষ্টা কৰিলো ।,8,2,0,4
তেওঁ পিছলৈ মোৰ শহুৰ হৈছিল ।,6,2,0,4
ইয়াৰ যোগেদি শৰীৰত ৰক্তকণিকা গঢ় লৈ উঠে ।,8,4,2,24
যঁতৰ অহিংসাৰ বাহ্য ৰূপ ।,5,2,1,9
কিয়নো আমি অসাধাৰণ নতুনত্ব অনাৰ চেষ্টা কৰিছিলো ।,8,3,2,18
এইবাৰ বিশ্বনাথত সংঘটিত হৈছে চিকিৎসকক আক্ৰমণৰ ঘটনা ।,8,3,1,18
যিয়ে গাঁওখনত আতংকময় পৰিৱেশৰ সৃষ্টি কৰিছে ।,7,2,1,9
অনেক প্ৰভাৱশালী ব্যক্তিৰ লগত আপোনাৰ সম্পৰ্ক গঢ়ি উঠিব ।,9,5,1,32
দ্বিতীয়তে প্ৰশংসাতকৈ তিৰস্কাৰৰ মাত্ৰ ।,5,3,1,8
তেওঁ এগৰাকী উচ্চ পৰ্যায়ৰ শিক্ষাবিদ আছিল ।,7,2,0,6
মহী চন্দ্ৰ মিৰি আছিল অসমৰ প্ৰথম মুখ্য বন সংৰক্ষক ।,10,3,0,8
তেওঁ দৰিদ্ৰৰ বন্ধু ।,4,1,0,4
"উল্লেখ্য যে , অলিম্পিকত ক্ৰিকেট অন্তৰ্ভুক্তিৰ দাবী উত্থাপন হৈ আহিছে ।",11,5,1,48
""" এটা মাহ লকডাউনৰ অন্তত পৰিৱেশ ভাল অৱস্থালৈ ঘূৰি আহিছে ।",11,6,1,216
ইয়াত কোনো ৰাজনৈতিক ৰহণ নাথাকিব ।,6,2,0,6
মহিলাগৰাকীয়ে অভিযোগ কৰিছিল যে বিধায়ক ত্ৰিপুৰাই তেওঁক বিবাহৰ প্ৰতিশ্ৰুতি দি ধৰ্ষণ কৰিছিল ।,13,8,0,2304
এই ব্যাপক অনিয়মত কৃষি বিভাগৰ বিষয়া কৰ্মী জড়িত থকাৰো অভিযোগ উঠিছে ।,12,8,1,1944
ভুক্তভোগী যুৱতীগৰাকীৰ এজাহাৰৰ ভিত্তিত আৰক্ষীয়ে বৰ্তমান তদন্ত আৰম্ভ কৰিছে ।,10,2,0,6
মই তেওঁলোকৰ লগত কথা পাতিব নোৱাৰিছিলোঁ ।,7,3,1,12
তেওঁলোকে কেৱল সাধুৰ ৰূপত নৃত্য কৰিছে ।,7,4,2,108
"সেয়ে ছাত্ৰ-ছাত্ৰী সকলে প্ৰতিটো কাম অতি নিষ্ঠা , দৃঢ়তা আৰু সফল হমেই বুলি কৰিব লাগে ।",16,9,3,3072
বিধায়ক কৌশিক ৰায়ৰ বিৰুদ্ধে ব্যৱস্থা গ্ৰহণৰ আহ্বান বিষয়াসকলৰ ।,9,2,1,10
লগতে অভিযুক্ত যুৱকজনৰ মাতৃৰ বিৰুদ্ধেও আন এক বিস্ফোৰক অভিযোগ উত্থাপন কৰিছে কিশোৰীগৰাকীয়ে ।,13,5,1,180
"সেই সময়ত , হঠাতে এটা ডাঙৰ শব্দত বিস্ফোৰিত হয় ।",10,4,2,54
ইয়াৰ উপৰিও এই অনুষ্ঠানত ৰাষ্ট্ৰীয় আৰু আন্তঃৰাষ্ট্ৰীয় পৰ্যায়ত অসমক প্ৰতিনিধিত্ব কৰা একাংশ খেলুৱৈ আৰু খেলৰ লগত জড়িত ১৫ গৰাকীৰ সন্মানীয় ব্যক্তিক সম্বৰ্ধনা জনোৱা হ'ব ।,25,11,1,36864
দৰকাৰ হ'লে ভুল স্বীকাৰো আমিয়েই কৰিম ।,7,5,2,96
এই উপলক্ষে পুৱা পতাকা উত্তোলনৰ পিছতে কণী যুঁজ প্ৰতিযোগিতা অনুষ্ঠিত কৰা হয় ।,13,5,1,144
তেনে ধৰণেই অসন্তুষ্টি ব্যক্ত কৰিছে মৰিগাঁও সমষ্টিৰ বিধায়ক ৰমাকান্ত দেউৰীয়ে ।,11,4,0,108
দিল্লী আৰক্ষী আয়ুক্তই জাৰি কৰা এই আদেশত কোৱা হৈছে যে যদি দিল্লী আৰক্ষীৰ কোনো কৰ্মচাৰী ক'ৰ'নাত আক্ৰান্ত হয় তেন্তে তেওঁলোকক শীঘ্ৰে আৰ্থিক সাহায্য প্ৰদান কৰা হ'ব ।,27,17,3,11943936
"আন ৪ গৰাকী সদস্য থাকিব আৰক্ষী অধীক্ষক , জিলা প্ৰাথমিক শিক্ষা বিষয়া , জিলা সমাজ কল্যাণ বিষয়া আৰু জিলা উপায়ুক্তই মনোনীত কৰা এগৰাকী শিক্ষাবিদ ।",25,10,0,20736
ই ওজন বৃদ্ধিৰ এক অন্যতম কাৰণ ।,7,4,0,32
সেয়েহে ভালপোৱা প্ৰস্তাৱটো প্ৰকাশ কৰাৰ সময়ত অলপ ধৈৰ্য্য ধৰিব ।,10,5,3,288
কথা কম কোৱা শক্তি কিমান ।,6,3,0,18
যি চকলেটে আজি বিশ্বৰ প্ৰাচীন চকলেট হিচাবে স্বীকৃতি লাভ কৰিবলৈ সক্ষম হৈছে ।,13,7,0,384
আমাৰ সমাজত যিমানবোৰ বৃত্তি আছে তাৰ ভিতৰত আটাইতকৈ মহান বৃত্তি হ'ল শিক্ষকতা বৃত্তি ।,14,9,2,2304
দুই কোটিৰে আৰম্ভ হৈছিল নিলাম ।,6,4,1,72
অসমত সেই সময়ত স্থায়ী নাগৰিকতাৰ সূত্ৰপাত মাথোঁ ।,8,5,4,72
"আহোমসকলৰ পৰম্পৰাগত এটা সমষ্টি সেই সমষ্টিটো হ্ৰাস কৰাটো নিশ্চয় আহোম মানুহবোৰে , অসমৰ খিলঞ্জীয়া মানুহবোৰে নিবিচাৰিব ।",17,8,0,576
"অৰ্থাৎ , কণীটো প্ৰথমে আহিছিল , কুকুৰাটো পিছত আহিছিল ।",10,3,0,12
বিহাৰ নিৰ্বাচনত ধন আৰু বাহুবল প্ৰদৰ্শনৰ ক্ষমতা থকা বহু প্ৰাৰ্থীয়ে নিৰ্বাচনী যুঁজত অৱতীৰ্ণ হৈছে ।,15,10,2,9216
এগৰাকীয়ে তেওঁক বিয়া কৰোৱা মানুহজনক শুদ্ধ কৰিব বুলি আশা কৰা মিছা ।,12,6,2,384
"আঘাত দিয়া আৰু মলম লগোৱা , দুয়োটাতে কাৰ্য্যতে ছোৱালী উত্তম ।",11,3,1,16
প্ৰস্তাৱিত ৰাজনৈতিক দলটোত স্থান নাথাকিব কোনো সাম্প্ৰদায়িক শক্তিৰ ।,9,5,3,108
ইতিমধ্যে মহাৰাষ্ট্ৰত দশম আৰু দ্বাদশ শ্ৰেণীৰ পৰীক্ষা স্থগিত কৰা হৈছে ।,11,5,1,192
মৃত্যুৰ সময়ত তেওঁৰ বয়স হৈছিল ৬০ বছৰ ।,8,3,1,12
"আমি এইটো নিশ্চয় উপলব্ধি কৰা উচিত যে , আমাৰ স্বাধীনতা হেৰুৱাৰ মূল কাৰণ হৈছে এই নৈতিক শক্তিৰ অৱনতি ।",19,12,1,41472
আইৰ মুখৰ মাতষাৰৰ ওপৰত চৰকাৰৰ তিনিতৰপীয়া আক্ৰমণ চলোৱাৰ প্ৰস্তুতিক কোনোপধ্যে মানি লোৱা নহব ।,14,9,3,6912
সেয়ে মই নিজকে শাৰীৰিক আৰু মানসিক ভাৱে যথেষ্ট সুস্থ অনুভৱ কৰো ।,12,6,2,1728
যাব খোজা শ্ৰদ্ধা যেন আকৌ উভতি আহিছিল ।,8,3,0,24
এক সস্তীয়া ধাতু লোহাৰ ব্যৱহাৰৰ সহায়ত এই যুগত দূৰ দূৰণিলৈ সভ্যতা বিয়পি পৰিছিল আৰু ইয়েই হ'ল লৌহ যুগৰ সকলোতকৈ ডাঙৰ অৱদান ।,22,12,2,36864
"একেদৰে , বিতৰণ কৰা সাহায্যৰ মানদণ্ড আৰু পৰিমাণৰ ওপৰতো খুব কম আলোচনা হৈছে ।",14,9,2,2048
"তেওঁলোকে ত্ৰিপুৰা আৰু ইয়াৰ মানুহৰ প্ৰতি এটা আকৰ্ষণ অনুভৱ কৰিব "" ।",12,7,2,1152
এইটো দুখদায়ক আছিল আৰু মোক অত্যন্ত অস্বস্তিকৰ অনুভৱ কৰাইছিল ।,10,4,1,96
আপোনাৰ স্বাস্থ্য নিখুঁত হৈ থাকিব ।,6,4,2,32
নিৰ্বাচনৰ সময়তে চাহ বাগিচাসমূহত এই মদ বিতৰণ কৰি লাভ কৰিব ভোট ।,12,10,1,3456
যিমান দিন লৈকে আদিবাসী অঞ্চলৰ চিকিৎসা সেৱা উন্নত নহব সিমান দিন লৈ ডাইনী প্ৰথা চলি থাকিব ।,17,8,0,2592
চিংৰাবোৰে বছৰৰ ১২ মাহ অতি সোৱাদৰ সৈতে খায় ।,9,6,3,192
ইতিমধ্যে বহুত অৰ্জন কৰিছে ।,5,3,1,18
"দ্বিতীয়তে , এই পাচলিৰ ভেষজ গুণাগুণ আশ্চৰ্যজনক ।",8,4,1,36
প্ৰত্যক্ষদৰ্শী সকলক প্ৰভাৱিত কৰি তেওঁলোকৰ বক্তব্য মন্তব্য সলনি কৰাৰ অলেখ উদাহৰণ আছে ।,13,6,2,648
আজি মনোনয়ন দাখিলৰ অন্তিম দিন ।,6,1,0,3
ধৰ্ষণকাৰীক কঠোৰ শাস্তি প্ৰদান কৰা উচিত ।,7,2,0,8
এইসমূহৰ বিৰুদ্ধে কঠোৰ পদক্ষেপ গ্ৰহণ কৰাটো অতি আৱশ্যক ।,9,4,1,80
তেখেতে ইতিমধ্যে বিভিন্ন নাটক লিখি সমাদৰ লাভ কৰিছে ।,9,6,0,648
কংগ্ৰেছ বিজেপিৰ বিৰুদ্ধে আক্ৰমণাত্মক হৈ উঠিছে ।,7,4,1,60
মোক হিন্দুস্থানী শিকোৱাৰ ব্যৱস্থাও কৰা হৈছিল ।,7,2,0,8
এনেদৰেই চাৰিটা দশাৰ মাজেৰে আমাৰ এৰাতিৰ নিদ্ৰা সম্পন্ন হয় ।,10,6,1,648
আপুনি আপোনাৰ ব্যৱসায়ত ভাল ফলাফল আৰু লাভ লাভ কৰিব ।,10,6,3,192
বৰ্তমান এই নামটি মালদ্বীপৰ ৰাষ্ট্ৰীয় প্ৰতীকত লিখা হৈছে ।,9,5,1,108
শেহতীয়া তথ্য অনুসৰি এই মহামাৰীত আক্ৰান্তৰ সংখ্যা ৩৪৩০ জনলৈ বৃদ্ধি পাইছে ।,12,6,1,432
তেখেতে কয় যে বিপদজনক অৱস্থাৰ সন্মুখীন হোৱাৰ এটা উপায় হ'ল কৌশলৰ আশ্ৰয় লোৱা ।,14,7,4,720
পৰৱৰ্তী সময়ত প্ৰতিযোগিতা উদ্বোধন কৰিব মহকুমাধিপতি অৰিন্দম বৰুৱাই ।,9,3,1,24
তাৰ পিছত কৰ্মচাৰীৰ সংখ্যা ক্ৰমান্বয়ে আধা কৰা হ'ব ।,9,5,1,96
আগন্তুক লোকসভা নিৰ্বাচনলৈ সাজু হৈছে মেঘালয় কংগ্ৰেছ ।,8,5,2,32
সকলোবোৰ নৈতিক শিক্ষাই উপযুক্ত সময়ত আৰু প্ৰত্যক্ষ ভাৱে ( বাস্তৱ ) হব লাগে ।,14,7,3,768
বহু সময়ত আমাৰ ঘৰত মহৰ উপদ্ৰৱ যথেষ্ট বৃদ্ধি পায় ।,10,3,1,27
কিন্তু পৰৱৰ্তী সময়ত ইয়াক পৃথক কৰা হৈছিল ।,8,3,1,24
এই তথ্যসূত্ৰসমূহৰ ওপৰত ভিত্তি কৰি বস্তুনিষ্ঠ আৰু বৈজ্ঞানিক এই দুটা বস্তু সংযুক্ত কৰি মূল্যায়নৰ ব্যৱস্থা কৰা হ'ব ।,18,11,1,27648
"উল্লেখ্য যে , উক্ত গীতটি মুক্তি লাভ কৰা পিছতেই লাভ কৰিছিল দৰ্শকৰ বহুল সঁহাৰি ।",15,8,0,1152
উল্লেখ্য যে যোৱা ২০১৭ চনত নগাঁও সমাজ কল্যাণ বিষয়া কাৰ্যালয় চৌহদত অস্থায়ীভাৱে একক অৱস্থান কেন্দ্ৰটি স্থাপন কৰা হৈছিল ।,19,10,2,20736
অসমত এই ৰাজ্যবোৰৰ তুলনাত অতি কমসংখ্যক চিত্ৰগৃহহে আছে ।,9,6,0,288
এই ৰায় কোনো এটা পক্ষৰ জয় পৰাজয় হিচাপে ল'ব নালাগে ।,11,10,2,7776
চন্দ্ৰ দেখা দিয়াৰ পিছত ৰমজান আৰম্ভ হোৱাৰ কথা ঘোষণা কৰা হৈছিল ।,12,4,0,32
কাৰণ এতিয়া নিৰ্মাণ হ'ব দলং ।,6,3,0,8
তথাপি এই দুয়োখন ক্ষেত্ৰৰ সমন্বয়ৰ জৰিয়তে এক সুস্থিৰ সংস্কৃতিয়ে গা কৰি উঠিছিল ।,13,9,1,4320
ভাৰতীয় প্ৰেক্ষাপটতো উলম্ব কৃষিৰ বিভিন্ন আঁচনিৰ ওপৰত ভাৰতীয় কৃষি গৱেষণা পৰিষদৰ অধীনত কাম-কাজ অব্যাহত আছে ।,16,6,1,216
এনেকুৱা মনোবৃত্তি ধাৰণ কৰা ভুল বুলি মই অতি বিনীতভাৱে জনাইছোঁ ।,11,7,2,1728
এই শীৰ্ষ হিন্দী দূৰদৰ্শন অনুষ্ঠানটো বৰ্তমান এক নম্বৰ স্থানত আছে আৰু অনুৰাগীসকলে যথেষ্ট ভাল পায় ।,16,7,0,1728
প্ৰধানমন্ত্ৰী নৰেন্দ্ৰ মোডীয়ে শ্ৰমিকসকলক কৈছিল যে আমাৰ এতিয়া বহুত কাম আছে ।,12,7,1,288
এতিয়া আমি খেলৰ মনস্তত্ত্ব সংক্ষেপে আলোচনা কৰিব লাগিব ।,9,5,1,48
মই প্ৰথমে সেই বিদ্যালয়ত উপস্থিত হলো ।,7,3,1,24
সেই সময়ত এই বিষয়টোৱে ব্যাপক চৰ্চা লাভ কৰিছিল ।,9,6,1,144
ছবিখনত সাপটো বিচাৰি পোৱাটো বহুত কঠিন বুলি গণ্য কৰা হয় ।,11,8,3,4800
অবিভক্ত নগাঁও জিলাত মুঠ ২৩ খন আঞ্চলিক আছে ।,9,2,0,12
তেওঁ লগতে কয় যে বিগত বৰ্ষৰ তুলনাত চলিত বৰ্ষত ৰাজ্যৰ ভিতৰতে প্ৰথম স্থান লাভ কৰা শিক্ষাৰ্থীগৰাকীৰ মুঠ নম্বৰো বৃদ্ধি হোৱাটো লক্ষণ ।,22,10,2,4608
যত আছে স্থানীয় বহু কেইগৰাকী মুছলমান লোক ।,8,4,1,48
আপুনি পৰিয়ালত আপোনাৰ জ্যেষ্ঠসকলৰ আশীৰ্বাদও পাব ।,7,2,0,10
ডাঙৰে আৰু লগৰীয়াবিলাকে ভালপোৱাটো শিশুৱে বিচাৰে ।,7,6,1,960
ইয়াক ঔষধ তৈয়াৰ কৰাতো ব্যৱহাৰ কৰা হয় ।,8,3,1,48
"উল্লেখ্য যে , হাতীটো পানীত আৱদ্ধ হৈ থকাৰ তিনি দিন পাছতহে বন বিভাগৰ লোক আহি হাতীটো পৰ্যবেক্ষণ কৰিছিল যদিও তাৎক্ষণিক ভাৱে কোনো পদক্ষেপ গ্ৰহণ কৰা নাছিল ।",27,16,6,3981312
সামাজিক বিজ্ঞানৰ ওপৰত নহয় ।,5,3,0,30
এনেবোৰ কাৰণতে উচ্চতম ন্যায়ালয়ৰ মুখ্য ন্যায়াধীশগৰাকী ক্ষুব্ধ হৈ পৰিছিল ।,10,7,0,192
কিন্তু পকী দলং নিৰ্মাণত ঠিকাদাৰ তথা বিভাগীয় কৰ্তৃপক্ষই হেমাহি কৰাৰ অভিযোগ ।,12,5,0,96
"দৰাচলতে , যদি বিমানখন বাতিল কৰা হয় , যাত্ৰীসকলে টিকটৰ টকা ঘূৰাই পায় ।",14,8,3,19440
কিন্তু যদি আপুনি আমাৰ বিৰুদ্ধে হিংসাৰ আশ্ৰয় লয় তেন্তে আমি আমাৰ পূৰ্বপুৰুষৰ ভূমিৰ পৰা এখোজো পিচুৱাই নাহো ।,18,5,3,300
