Wrd,posAsm,posEng,IdeaID,Meanings
অনসূয়া,বিশেষণ,Adjective,14895,ঈৰ্ষাশূন্যতা
ঈৰ্ষাশূন্যতা,বিশেষণ,Adjective,14895,অনসূয়া
জাতিবাচক,বিশেষণ,Adjective,17874,collective
কৰ্কশ,বিশেষণ,Adjective,17948,"গেনগেনীয়া,rough,harsh,gruff"
গেনগেনীয়া,বিশেষণ,Adjective,17948,"কৰ্কশ,rough,harsh,gruff"
চেঁচেয়া,বিশেষণ,Adjective,17948,"কৰ্কশ,গেনগেনীয়া,rough,harsh"
আয়তলোচন,বিশেষণ,Adjective,17986,"exophthalmos,proptosis"
মনে মিলা,বিশেষণ,Adjective,17993,"সন্মতজনক,agreeable"
সন্মতজনক,বিশেষণ,Adjective,17993,"মনে মিলা,agreeable"
অব্যৱধান,বিশেষণ,Adjective,18012,gapless
মানৱকেন্দ্ৰিক,বিশেষণ,Adjective,18027,anthropocentric
এককালীন,বিশেষণ,Adjective,18606,"সমকালীন,synchronic"
সমকালীন,বিশেষণ,Adjective,18606,"এককালীন,synchronic"
বিদ্ৰোহী,বিশেষণ,Adjective,18914,rebellious
অনুভাৱ,বিশেষ্য,Noun,18085,influence
जोब्था बाहागो,বিশেষ্য,Noun,19104,omega
পিছত,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,অনন্তৰে,গিদে-গিদে"
পাছত,ক্ৰিয়া বিশেষণ,Adverb,20,"পৰত্ৰে,অনন্তৰে,গিদে-গিদে,পাছে-পাছে"
পৰত্ৰে,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,অনন্তৰে,গিদে-গিদে,পাছে-পাছে"
অনন্তৰে,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,গিদে-গিদে,পাছে-পাছে"
গিদে-গিদে,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,অনন্তৰে,পাছে-পাছে"
পাছে-পাছে,ক্ৰিয়া বিশেষণ,Adverb,20,"পাছত,পৰত্ৰে,অনন্তৰে,গিদে-গিদে"
