sentence-id,word-id,sentence,word,options,selected-index
0,0,বহু কাহিনী ককাকে কৈছিল ।,বহু,"[[['বহু', 'Proper Adj.']]]",0.0
0,1,বহু কাহিনী ককাকে কৈছিল ।,কাহিনী,"[[['কাহিনী', 'Abstract Noun']]]",0.0
0,2,বহু কাহিনী ককাকে কৈছিল ।,ককাকে,"[[['ককা', 'Common Noun'], ['ক', 'acc'], ['ে', 'emph']]]",0.0
0,3,বহু কাহিনী ককাকে কৈছিল ।,কৈছিল,"[[['ক', 'Verb-Trans.'], ['ৈছিল', 'past-2f']], [['ক', 'Verb-Trans.'], ['ৈছিল', 'past-3a']]]",1.0
0,4,বহু কাহিনী ককাকে কৈছিল ।,।,"[[['।', 'symbol']]]",0.0
1,0,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,তেওঁৰ,"[[['তেওঁৰ', 'Pronoun'], ['', 'gen']], [['তেওঁ', 'Pronoun'], ['', 'abs'], ['ৰ', 'gen']]]",0.0
1,1,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,পিতৃৰ,"[[['পিতৃ', 'Common Noun'], ['ৰ', 'gen']]]",0.0
1,2,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,পৰিবহণৰ,"[[['পৰিবহণ', 'Abstract Noun'], ['ৰ', 'gen']]]",0.0
1,3,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,ব্যৱসায়,"[[['ব্যৱসায়', 'Abstract Noun']], [['ব্যৱসায়', 'Common Noun']]]",1.0
1,4,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,আছে,"[[['আছে', 'Interjection']], [['আছ', 'Verb-Intran.'], ['ে', 'present-3a']], [['আছ', 'Verb-Intran.'], ['ে', 'when_comp']]]",1.0
1,5,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,।,"[[['।', 'symbol']]]",0.0
2,0,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আশা,"[[['আশা', 'Abstract Noun']]]",0.0
2,1,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আৰু,"[[['আৰু', 'Adverb']], [['আৰু', 'Conjuction']], [['আৰু', 'Proper Adj.']], [['আৰ', 'Abstract Noun'], ['ু', 'derivational'], ['', 'Material Noun']]]",1.0
2,2,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আত্মবিশ্বাসেৰে,"[[['আত্মবিশ্বাস', 'Abstract Noun'], ['েৰে', 'inst']]]",0.0
2,3,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আমি,"[[['আমি', 'Pronoun'], ['', 'abs']]]",0.0
2,4,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,মানৱজাতিৰ,"[[['মা', 'Common Noun'], ['নৱজাত', 'Proper Adj.'], ['ি', 'derivational'], ['', 'Abstract Noun'], ['ৰ', 'gen']], [['মানৱ', 'Common Noun'], ['জাত', 'Verbal Adj.'], ['ি', 'derivational'], ['', 'Abstract Noun'], ['ৰ', 'gen']]]",1.0
2,5,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,ইতিহাসত,"[[['ইতিহাস', 'Abstract Noun'], ['ত', 'loc']]]",0.0
2,6,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,এক,"[[['এক', 'Abstract Noun']], [['এ', 'Abstract Noun'], ['ক', 'acc']]]",0.0
2,7,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,অনন্য,"[[['অনন্য', 'Proper Adj.']]]",0.0
2,8,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,পৰীক্ষা-নিৰীক্ষা,"[[['পৰীক্ষা', 'Abstract Noun'], ['-', 'dash'], ['নিৰীক্ষা', 'Abstract Noun']]]",0.0
2,9,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আৰম্ভ,"[[['আৰম্ভ', 'Abstract Noun']]]",0.0
