sentence-id,word-id,sentence,word,features
0,0,বহু কাহিনী ককাকে কৈছিল ।,বহু,Adjective;Proper Adj.
0,1,বহু কাহিনী ককাকে কৈছিল ।,কাহিনী,Abstract Noun;Noun
0,2,বহু কাহিনী ককাকে কৈছিল ।,ককাকে,Common Noun;Noun;acc;emph
0,3,বহু কাহিনী ককাকে কৈছিল ।,কৈছিল,Verb;Verb-Trans.;a;p3;past
0,4,বহু কাহিনী ককাকে কৈছিল ।,।,end_sym
1,0,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,তেওঁৰ,Pronoun;f;gen;p3
1,1,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,পিতৃৰ,Common Noun;Noun;gen
1,2,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,পৰিবহণৰ,Abstract Noun;Noun;gen
1,3,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,ব্যৱসায়,Common Noun;Noun
1,4,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,আছে,Verb;Verb-Intran.;n;p3;present
1,5,তেওঁৰ পিতৃৰ পৰিবহণৰ ব্যৱসায় আছে ।,।,end_sym
2,0,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আশা,Abstract Noun;Noun
2,1,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আৰু,Conjuction;Conjunction
2,2,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আত্মবিশ্বাসেৰে,Abstract Noun;Noun;inst
2,3,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আমি,Pronoun;a;abs;p1
2,4,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,মানৱজাতিৰ,Adjective;Verbal Adj.;gen
2,5,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,ইতিহাসত,Abstract Noun;Noun;loc
2,6,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,এক,Abstract Noun;Noun
2,7,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,অনন্য,Adjective;Proper Adj.
2,8,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,পৰীক্ষা-নিৰীক্ষা,Abstract Noun;Noun;dash
2,9,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,আৰম্ভ,Abstract Noun;Noun
2,10,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,কৰিলো,Verb;Verb-Trans.;a;p1;past
2,11,আশা আৰু আত্মবিশ্বাসেৰে আমি মানৱজাতিৰ ইতিহাসত এক অনন্য পৰীক্ষা-নিৰীক্ষা আৰম্ভ কৰিলো ।,।,end_sym
3,0,এনেকুৱা ঘটনা আমি প্ৰায় দেখো ।,এনেকুৱা,Adjective;Proper Adj.
3,1,এনেকুৱা ঘটনা আমি প্ৰায় দেখো ।,ঘটনা,Abstract Noun;Noun
3,2,এনেকুৱা ঘটনা আমি প্ৰায় দেখো ।,আমি,Pronoun;a;abs;p1
3,3,এনেকুৱা ঘটনা আমি প্ৰায় দেখো ।,প্ৰায়,Adjective;Proper Adj.
3,4,এনেকুৱা ঘটনা আমি প্ৰায় দেখো ।,দেখো,Verb;Verb-Intran.;n;p1;present
3,5,এনেকুৱা ঘটনা আমি প্ৰায় দেখো ।,।,end_sym
4,0,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,নতুনকৈ,Adjective;Proper Adj.
4,1,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,কলেজত,Abstract Noun;Noun;loc
4,2,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,ভৰ্তি,Adjective;Proper Adj.
4,3,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,হোৱা,Verb;Verb-Intran.;adj_comp
4,4,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,মোৰ,Pronoun;a;gen;p1
4,5,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,ভাইটোৰো,Common Noun;Noun;emph;gen;number;sg
4,6,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,ভাল,Adjective;Proper Adj.
4,7,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,বন্ধু,Common Noun;Noun
4,8,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,হৈ,Verb;Verb-Intran.;after_comp
4,9,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,পৰিছিল,Verb;Verb-Intran.;a;p3;past
4,10,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,সি,Pronoun;abs;n;p3
4,11,নতুনকৈ কলেজত ভৰ্তি হোৱা মোৰ ভাইটোৰো ভাল বন্ধু হৈ পৰিছিল সি ।,।,end_sym
5,0,সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,সেই,Pronoun
5,1,সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,পৰিয়ালটোত,Abstract Noun;Noun;loc;number;sg
5,2,সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,দুটা,number;numerical;sg
5,3,সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,ল'ৰা,Common Noun;Noun
5,4,সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,আছিল,Verb;Verb-Intran.;a;p3;past
5,5,সেই পৰিয়ালটোত দুটা ল'ৰা আছিল ।,।,end_sym
6,0,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,এটা,number;numerical;sg
6,1,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,সমষ্টিত,Abstract Noun;Noun;loc
6,2,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,নিৰ্দলীয়,Adjective;Proper Adj.
6,3,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,নতুবা,Conjuction;Conjunction
6,4,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,অইন,Pronoun
6,5,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,বেলেগ,Adjective;Proper Adj.
6,6,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,প্ৰাৰ্থী,Common Noun;Noun
6,7,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,জিকিব,Verb;Verb-Intran.;f;future;p3
6,8,এটা সমষ্টিত নিৰ্দলীয় নতুবা অইন বেলেগ প্ৰাৰ্থী জিকিব ।,।,end_sym
7,0,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,ৰাইজে,Abstract Noun;Noun;erg
7,1,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,আমাক,Pronoun;a;acc;p1
7,2,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,ৰাইজৰ,Abstract Noun;Noun;gen
7,3,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,সেৱা,Noun;Verbal Noun
7,4,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,কৰিবলৈ,Verb;Verb-Trans.;reason_comp
7,5,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,সুবিধা,Abstract Noun;Noun
7,6,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,কৰি,Verb;Verb-Trans.;after_comp
7,7,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,দিছে,Verbable;n;p3;present
7,8,ৰাইজে আমাক ৰাইজৰ সেৱা কৰিবলৈ সুবিধা কৰি দিছে ।,।,end_sym
8,0,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,সদস্য,Common Noun;Noun
8,1,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,পদটোত,Abstract Noun;Noun;loc;number;sg
8,2,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,প্ৰাৰ্থীগৰাকীৰ,Common Noun;Noun;gen;number;sg
8,3,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,বিজয়ৰ,Abstract Noun;Noun;gen
8,4,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,সম্পূৰ্ণ,Adjective;Proper Adj.
8,5,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,সম্ভাৱনা,Abstract Noun;Noun
8,6,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,আছে,Verb;Verb-Intran.;n;p3;present
8,7,সদস্য পদটোত প্ৰাৰ্থীগৰাকীৰ বিজয়ৰ সম্পূৰ্ণ সম্ভাৱনা আছে ।,।,end_sym
9,0,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,ৰাজ্যৰ,Abstract Noun;Noun;gen
9,1,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,ৰাজনীতিত,Abstract Noun;Noun;loc
9,2,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,পাখি,Material Noun;Noun
9,3,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,কটা,Verb;Verb-Trans.
9,4,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,হ'ল,Verb;Verb-Intran.;a;p3;past
9,5,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,বিজেপিৰ,Noun;Proper Noun;gen
9,6,ৰাজ্যৰ ৰাজনীতিত পাখি কটা হ'ল বিজেপিৰ বৰ্তমানৰ তিনিজন সাংসদৰ ।,বৰ্তমানৰ,Abstract Noun;Noun;gen
