"IdeaID","meaning","meaningAsm"
"0","Place holder for words with no Idea/Meaning",NULL
"1","Spondias mombin is a species of flowering plant in the family Anacardiaceae. It originates from and is distributed throughout the Neotropics from southern Mexico to Peru and Brazil, including the West Indies. The tree is also naturalized in parts of Africa, India and Indonesia. It is rarely cultivated.

The fruit has a leathery skin and a thin layer of pulp. The pulp is either eaten fresh, or made into juice, concentrate, jellies , and sherbets. In Suriname\'s traditional medicine, the infusion of the leaves is used as a treatment of eye inflammation, diarrhea and venereal diseases. The seed has an oil content of 31.5%.

It has several common names; in the Caribbean islands it is known as yellow mombin or hog plum, while in Jamaica it is called Spanish plum or gully plum. In Ghana, it is hog plum or Ashanti plum. Other common names include true yellow mombin, golden apple or Java plum, cajá in Brazil, agbalumo or udara in western and eastern Nigeria respectively. The name of the city of Bangkok, Thailand is believed to derive from makok, the Thai name for the fruit of S. mombin.","অমৰা এবিধ সপুস্পক উদ্ভিদ। ই দক্ষিণ মেক্সিকোৰ পৰা পেৰু, ব্ৰাজিল, ৱেষ্ট ইণ্ডিজ আদিলৈকে বিয়পি আছে । আফ্ৰিকা, ভাৰত আৰু ইণ্ডোনেছিয়াতো এইবিধ গছ প্ৰাকৃতিক পৰিবেশত পোৱা যায়।

ইয়াৰ ফলৰ বাকলিটো চামৰা সদৃশ আৰু তাৰ ভিতৰত এটা পাতল ৰসাল তৰপ থাকে। ৰসাল অংশখিনিৰ ৰস উলিয়াই, জেলী বনাই অথবা চৰবত বনাই খোৱা হয়। ইয়াৰ পাতৰ ৰস চকুৰ জ্বলাপোৰা, গ্ৰহণী আৰু যৌন সম্বন্ধীয় ৰোগত ভেষজ ঔষধ হিচাপে ব্যৱহাৰ কৰা হয়। অমৰাৰ বীজত প্ৰায় ৩১.৫ শতাংশ তেল পোৱা যায়।

ঠাই বিশেষে ইয়াক বিভিন্ন নামেৰে জনা যায়। থাইলেণ্ডৰ বেংকক চহৰৰ নামটো অমৰাৰ পৰাই আহিছে বুলি সন্দেহ কৰা হয়। অমৰাক থাই ভাষাত মেকক বুলিও কোৱা হয়।"
"2","In reference to a given matter or subject.","কোনো উল্লেখিত বিষয়ৰ ওপৰত ৷"
"3","A short piece of writing containing the main ideas from a longer document ","কোনো লেখনি বা বক্তৃতাৰ মূল আৰু সাৰগৰ্ভ অংশখিনি চমুৱাই লিখা বা কোৱা"
"4","To receive willingly","সইচ্ছাৰে কাৰোবাৰ পৰা কিবা লোৱা"
"5","the consent to do something","কোনো কাম কৰিবলৈ দিয়া সন্মতি"
"6","Which is easy to approach, enter, or use.","যাৰ ওচৰলৈ যাবলৈ, ভিতৰত প্ৰৱেশ কৰিবলৈ, বা যিটো ব্যৱহাৰ কৰিবলৈ সহজ ৷"
"7","a formal record of the debits and credits relating to the person, business, etc., named at the head of the ledger account. ","লাভ-লোকচানৰ হিচাপ"
"8","Several things grouped together or considered as a whole.","বহুতো বস্তু একেলগে গোট খোৱা অথবা একেলগ হৈ থকা ৷"
"9","a person who is on trial for committing a crime.","যাৰ বিৰুদ্ধে অভিযোগ কৰা হৈছে ।"
"10","something done or performed","যি কৰিব লগা আছে বা কৰা হ’ল "
"11","Characterized by energetic work, participation, etc.","কাম-বন কৰি বা কোনো কাৰ্য্যত অংশ লৈ থকা ধৰণৰ।"
"12","a specific deed, action, function, or sphere of action.","কোনো সুনিদিষ্ট ক্ষেত্ৰৰ বা বিষয়ৰ কাৰ্য বা নিয়মসমূহ৷"
"13","Public announcement, esp of goods etc. for sale or wanted, vacancies etc.","কোনো উৎপাদিত সামগ্ৰী বিক্ৰী কৰিবলৈ, হেৰুৱা নথিপত্ৰ উদ্ধাৰ কৰিবলৈ বা নিয়োগৰ কাৰণে ৰাজহুৱাভাৱে দিয়া জাননী৷"
"14","The operation of combining numbers so as to obtain an equivalent simple quantity.","দুটা বা ততোধিক সংখ্যা লগ লগাই এটা কৰা প্ৰক্ৰিয়া ৷"
"15","More than or beyond what is usual, normal, expected, or necessary.","প্ৰয়োজনতকৈ বেছি অথবা নিৰ্দ্দিষ্ট পৰিমাণতকৈ অধিক ৷"
"16","the physical location of sb/sth","কোনো বস্তু বা কাৰোবাৰ পাৰ্থিৱ অৱস্থান"
"17","To accept the importance or value of sth","কাৰোবাৰ/কিহবাৰ গুৰুত্ব স্বীকাৰ কৰ্"
"18","a flying vehicle that propels itself my means of a propeller i.e. rotating fan displacing air in great speed or by means of jet engines. ","মানৱ নিৰ্মিত উৰিব পৰা যান্ত্ৰিক বাহন"
"19","The act of putting on some cloths.","গাত কাপোৰ পিন্ধা কাৰ্য্য৷"
"20","Behind in place, position, or order.","স্থান, স্থিতি, বা ক্ৰমত শেহতীয়া ৷"
"21","In a direction or course opposite to something.","কোনো এটা দিশ অথবা মতবাদৰ বিপৰীত দিশ ৷"
"22","The span of time that one has passed from the birth or the duration of his lifetime.","জন্মৰপৰা বৰ্তমানলৈকে অথবা মৃত্যু/ধ্বংস হোৱালৈকে সময়খিনি ৷"
"23","a list, plan, outline, or the like, of things to be done, matters to be acted or voted upon, etc","কৰিব লগীয়া কামৰ তালিকা বা পৰিকল্পনা"
"24","the art, science or business of growing a specific plant","কোনো শস্য ৰূপণ আৰু পতি-পালন কৌশল আৰু বিজ্ঞান৷"
